,brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen,untappdURL
81,Heg8,Hopewell Brewing,2760 N. Milwaukee Ave.,Chicago,IL,Logan Square,http://hopewellbrewing.com/,tap room,"-87.711205,41.931347",111758924.0,yes,41.931346999999995,-87.711205,yes,no,no,https://untappd.com/HopewellBrewingCo
82,Hf.6,Half Day Brewing Co.,200 Village Green,Lincolnshire,IL,,http://halfdaybrewing.com/,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/HalfDayBrewing
83,Hf.7,Half Acre Beer Co.,2050 W. Balmoral Ave.,Chicago,IL,Bowmanville,http://chicago.curbed.com/archives/2014/05/15/half-acre-eyes-bowman-for-new-brewery-and-beer-garden.php,tap room,"-87.68086,41.979652",605185676.0,yes,41.979652,-87.68086,yes,no,no,https://untappd.com/halfacrebeerco
84,Hfm3,Half Acre Beer Co. – Taproom,4257 N. Lincoln Ave.,Chicago,IL,North Center,http://halfacrebeer.com,"tap room, tour","-87.682236,41.959126",629477625.0,yes,41.959126,-87.682236,yes,yes,no,https://untappd.com/halfacrebeerco
85,Hl.2,Hailstorm Brewing Co.,8060 186th St.,Tinley Park,IL,,http://www.hailstormbrewing.com,tap room,"-87.81428,41.553066",111593063.0,no,41.553065999999994,-87.81428000000001,yes,no,no,https://untappd.com/HailstormBrewingCo
86,Hmy1,Haymarket Pub & Brewery,737 W. Randolph St.,Chicago,IL,West Loop,http://www.haymarketbrewing.com,kitchen & beer,"-87.6469,41.884293",605278192.0,yes,41.884293,-87.6469,no,no,yes,https://untappd.com/haymarket
87,Ho.10,Hopothesis Beer Co.,730 W. Randolph St.,Chicago,IL,West Loop,http://www.hopothesis.com,,"-87.64679,41.884537",605287164.0,yes,41.884537,-87.64679,no,no,no,https://untappd.com/Hopothesis
88,Hsw9,Horse Thief Hollow,10426 S. Western Ave.,Chicago,IL,Beverly,http://horsethiefbrewing.com,kitchen & beer,"-87.68156,41.704002",111822193.0,yes,41.704002,-87.68156,no,no,yes,https://untappd.com/HorseThiefHollowBrewingCo
89,Hv.2,Hopvine Brewing Co.,4030 Fox Valley Center Dr.,Aurora,IL,,http://www.hopvinebrewingcompany.com,kitchen & beer,"-88.21194,41.761066",639891903.0,no,41.761066,-88.21194,no,no,yes,https://untappd.com/HopvineBrewingCompany
90,Ieg8,Imperial Oak Brewing,501 Willow Blvd.,Willow Springs,IL,,http://www.imperialoakbrewing.com,tap room,"-87.87921,41.731945",111807510.0,no,41.731945,-87.87921,yes,no,no,https://untappd.com/ImperialOakBrewing
91,Is.5,Itasca Brewing Co.,400 East Orchard St.,Itasca,IL,,http://www.itascabrewhouse.com/home.html,tap room,"-88.01142,41.97194",112712043.0,no,41.971940000000004,-88.01142,yes,no,no,https://untappd.com/w/itasca-brewing-company/40906
92,Ius6,Illuminated Brew Works,415 N. Sangamon Ave.,Chicago,IL,West Loop,http://www.ibw-chicago.com,,"-87.65109,41.889877",111767866.0,yes,41.889877,-87.65109,no,no,no,https://untappd.com/ibw666
93,Jls6,Jolly Pumpkin Artisan Ales,1504 E. Harper Court,Chicago,IL,Hyde Park,http://www.jollypumpkin.com/jp/locations,kitchen & beer,,,yes,,,no,no,yes,https://untappd.com/jollypumpkinartisanales
94,Kg.9,Kings & Convicts Brewing Co.,523 Bank Ln.,Highwood,IL,,http://www.kingsandconvicts.com/,tap room,"-87.81219,42.205776",119689170.0,no,42.205776,-87.81219,yes,no,no,https://untappd.com/KCBCbeer
95,Ks.3,Kinslahger Brewing Co.,6806 Roosevelt Rd.,Oak Park,IL,,https://www.facebook.com/Kinslahger/,tap room,"-87.79409,41.865154",111794120.0,no,41.865154,-87.79409,yes,no,no,https://untappd.com/KinslahgerBrewingCompany
96,La.2,Lunar Brewing Co.,54 E. St. Charles Rd. #11,Villa Park,IL,,https://www.facebook.com/pages/LunaR-brewing-co/139344792806036?rf=252831751430609,tap room,,,no,,,yes,no,no,https://untappd.com/LunarBrewingCo
97,Le.10,Lake Effect Brewing Co.,4727 W. Montrose Ave.,Chicago,IL,Irving Park,http://www.lakeeffectbrewing.com,"tour, Bottle Shop","-87.74621,41.960735",111755225.0,yes,41.960735,-87.74620999999999,no,yes,no,https://untappd.com/LakeEffectBrewing
98,Le.5,Lake Bluff Brewing Co.,16 E. Scranton Ave.,Lake Bluff,IL,,http://www.lbbrew.com,tap room,"-87.84529,42.279694",119646840.0,no,42.279694,-87.84529,yes,no,no,https://untappd.com/lakebluffbrewingco
99,Lhy2,Light the Lamp Brewery,10 N. Lake St.,Grayslake,IL,,http://www.lightthelampbrewery.com,tap room,"-88.04372,42.344482",119635995.0,no,42.344482,-88.04372,yes,no,no,https://untappd.com/LightTheLamp
100,Lig8,Living Proof Brewing,1480 Old Deerfield Rd.,Highland Park,IL,,https://www.facebook.com/Lpbrewing/,,"-87.81546,42.17931",119696129.0,no,42.17931,-87.81546,no,no,no,https://untappd.com/LivingProofBrewing
101,Lr.8,LaGrow Organic Beer Co.,,Chicago,IL,,http://www.lagrowbeer.com/,,,,no,,,no,no,no,https://untappd.com/LaGrowOrganicBeerCo
102,LRg10,Lo Rez Brewing,2101 S Carpenter St.,Chicago,IL,Pilsen,http://lorezbrewing.com,tap room,"-87.65308,41.85375",111827931.0,yes,41.85375,-87.65308,yes,no,no,https://untappd.com/LoRezBrewing
103,Lu.4,Lagunitas Brewing Co.,1843 S. Washtenaw Ave.,Chicago,IL,Douglas Park,http://lagunitas.com,"kitchen & beer, tour","-87.69315,41.85722",605053564.0,yes,41.85722,-87.69315,no,yes,yes,https://untappd.com/LagunitasBrewingCo
104,Mag4,Metal Monkey Brewing,515 Anderson Dr. #900,Romeoville,IL,,http://www.metalmonkeybrewing.com/#!home/mainPage,tap room,"-88.07799,41.64518",641432567.0,no,41.645179999999996,-88.07799,yes,no,no,https://untappd.com/MetalMonkeyBrewing
105,Md.8,Middle Brow Beer Co.,Location varies,,,,http://www.middlebrowbeer.com,,,,no,,,no,no,no,https://untappd.com/middlebrow
106,Md.9,Moody Tongue Brewing Co.,2136 S. Peoria St.,Chicago,IL,Pilsen,http://moodytongue.com,kitchen & beer,"-87.64816,41.853573",605111951.0,yes,41.853573,-87.64816,no,no,yes,https://untappd.com/MoodyTongue
107,Me.7,More Brewing Co.,126 S. Villa Ave.,Villa Park,IL,,https://www.facebook.com/morebrewingco/,kitchen & beer,"-87.96917,41.892006",112543290.0,no,41.892006,-87.96916999999999,no,no,yes,https://untappd.com/MoreBrewing
